0,Emotion,Confidence,Room,Device
4/17/2025 18:31:38,Neutral,26.36,Entrance,
4/17/2025 18:31:41,Sad,26.44,Entrance,
4/17/2025 18:31:46,Neutral,26.35,Entrance,
4/17/2025 18:32:02,Sad,26.16,Entrance,
4/17/2025 18:32:14,Neutral,26.25,Entrance,
4/17/2025 18:32:22,Sad,26.19,Entrance,
4/17/2025 18:32:26,Neutral,26.4,Entrance,
4/17/2025 18:32:34,Sad,26.24,Entrance,
4/17/2025 18:32:38,Neutral,25.8,Entrance,
4/17/2025 18:33:46,Sad,26.14,Entrance,
4/17/2025 18:33:50,Neutral,26.67,Entrance,
4/17/2025 18:34:14,Sad,26.19,Entrance,
